last_name,race
Tisa,white
Davlin,white
Retting,white
Nast,white
Ghahramani,white
Pasenchnik,white
Battelle,white
Torrez,hispanic
Whitsitt,white
Pakman,white
Jablokov,white
Stabingas,white
Arwin,white
Wasserlauf,white
Monero,hispanic
McCuen,white
Nada,hispanic
Wienbar,white
Rind,white
Kairouz,white
Karakozoff,white
Gelburd,white
"Perkins,",white
Dolon,white
Rakavy,white
Tolub,white
Japhet,white
Crady,white
Buckwalter,white
Smirin,white
Ruvola,hispanic
Mymrin,white
Zaslavskaya,white
Abadir,hispanic
Monastiero,white
Cavalletto,white
Yarnoff,white
Kilar,white
Swagar,white
Kropik,white
Mandler,white
Postnikov,white
Laprad,white
Brunzell,white
Gentzel,white
Bankoff,white
Ottoson,white
Tatar,white
Ozisikcilar,white
Ozkanoglu,white
Birdal,white
Suvari,white
Ozsahin,white
Whitewood,white
Massoumi,white
Kharraz,hispanic
Colo,white
Stahura,white
Montpas,white
Hommels,white
Frayman,white
Denmark,white
Lyskovsky,white
Gurumohan,white
Patzer,white
Papakonstantinou,white
Wohlberg,white
Duhard,white
Shreibati,white
Schreve,white
Wettenstein,white
Golriz,hispanic
Galpert,white
Derdik,white
Bollich,white
Lodzki,white
Boyte,white
Laschover,white
Sounio,hispanic
Gillmor,white
Ahtisaari,white
Pishevar,white
Barriero,hispanic
Kalfon,white
Sherburne,white
Zaleski,white
Radoff,white
Abelon,white
Poler,white
DeFillippo,white
Hunziker,white
Powazek,white
Junkergard,white
Weiden,white
Weitenberner,white
Brezina,white
Cselle,white
Hyoung,white
Bensadon,white
Whitton,white
Waliany,white
Sherbow,white
Peckens,white
Khale,white
Fowks,white
Tczap,white
Boj,white
Fussfeld,white
Sozonoff,white
Hemecker,white
Fralic,white
Carb,white
Rougier,white
Moan,white
Wallez,white
Decugis,white
Willcock,white
Yamakoshi,api
Micucci,white
Morga,hispanic
Elley,white
Rockhill,white
Wielechowski,white
Sidney,white
Hebditch,white
Handby,white
Tellerman,white
Favvas,white
Gimmy,white
Constante,white
Lavenda,white
Kaminitz,white
Tarsi,white
Kurti,white
Doerksen,white
Ingson,white
Natansohn,white
Vaculin,white
haugnes,white
Kohout,white
Koppula,white
Wheatcroft,white
Houchin,white
Terban,white
Stoakes,white
Frink,white
Rascoff,white
Muessig,white
Amazeen,white
Centurino,white
Cannone,white
Gaddipati,white
Shmunis,white
Vendrow,white
Elpiner,white
(Smirin),white
Altucher,white
Jagoe,white
Arieff,white
Jemley,white
Almaer,white
Ballantini,white
Angelillo,white
Bagemihl,white
Seelen,white
Carbonelli,white
Kleindl,white
Francoli,white
Hartenbaum,white
Soskin,white
Konduri,white
Adukoorie,white
Dharmaraj,api
Dargahi,white
Schemers,white
Pflaum,white
Tezanos,hispanic
Blignaut,white
Hudack,white
Colando,white
Putanec,white
Maruyama,api
Aurelien,white
Wolfers,white
Bligh,white
Chappaz,hispanic
Fassero,white
Ristevski,white
Cabezudo,hispanic
Berrojalbiz,hispanic
Rasiej,white
Salm,white
Sawmer,white
Farros,hispanic
Choquel,hispanic
Klimczak,white
Cieply,white
Jarzebowski,white
Barram,white
Addante,white
Roah,white
Soghaier,white
Bonnie,white
Rimmon,white
Frascatore,white
Branstator,white
Lemkin,white
Cusenza,white
Saxonov,white
Batzoglou,white
Hoytema,white
Kolve,white
Brookler,white
Kadambi,white
Riekers,white
Thayne,white
Wait,white
Gittins,white
Wheelan,white
Zolli,white
Khaliq,api
Mullenweg,white
Eisnor,white
Dangermon,white
Ranaweera,api
Rockmore,white
Cheyer,white
Winarsky,white
Thorisson,white
Lego,white
Kershner,white
Wollenberg,white
Massena,white
funded,white
Kaufthal,white
Derechin,white
Foygel,white
Ghalimi,white
Malks,white
Kowalzik,white
Mohsenin,white
Gansky,white
Inkinen,white
Vengroff,white
Gospodnetic,white
Volatile,white
Schoneveld,white
Anazco,hispanic
Agnich,white
Tajur,white
Lisbonne,white
Podvin,white
Routhieau,white
Conta,white
Mickos,white
Urlocker,white
Berlucchi,white
Capiel,hispanic
Jessiman,white
Grenager,white
Cimei,white
Shnaiderman,white
Walborsky,white
Hajdarevic,white
Eliezerov,white
Boodman,white
Thet,white
Nordvik,white
Hustad,white
Vanderhook,white
Sangameswara,api
Munzinger,white
Revsin,white
Szubski,white
Griessman,white
Lucking,white
Nozad,white
Remesch,white
Creer,white
Dornquast,white
Rocherolle,white
Cige,white
Baio,white
Ariely,white
Kembel,white
Leka,white
LeGates,white
Rohregger,white
Zeinler,white
